frequency_ghz,transition_probability
4.863929505617215,0.755
4.8641757742942415,0.705
4.864422042971269,0.76
4.864668311648296,0.77
4.864914580325322,0.8
4.865160849002349,0.89
4.865407117679376,0.9
4.865653386356402,0.93
4.865899655033429,0.885
4.866145923710456,0.825
4.866392192387482,0.915
4.866638461064509,0.95
4.866884729741536,0.935
4.8671309984185624,0.93
4.8673772670955895,0.92
4.8676235357726165,0.96
4.867869804449644,0.97
4.86811607312667,0.965
4.868362341803697,0.955
4.868608610480724,0.945
4.86885487915775,0.965
4.869101147834777,0.965
4.869347416511804,0.985
4.86959368518883,0.985
4.869839953865857,0.875
4.870086222542885,0.96
4.870332491219911,0.99
4.870578759896938,0.975
4.870825028573965,0.99
4.8710712972509915,0.895
4.871317565928019,0.985
4.871563834605046,0.995
4.871810103282072,0.975
4.872056371959099,0.99
4.872302640636126,0.985
4.872548909313152,0.975
4.872795177990179,0.99
4.873041446667206,0.98
4.873287715344232,0.97
4.873533984021259,0.965
4.873780252698286,0.985
4.8740265213753124,0.98
4.8742727900523395,0.985
4.8745190587293665,0.98
4.874765327406393,0.95
4.87501159608342,0.97
4.875257864760447,0.94
4.875504133437473,0.98
4.8757504021145,0.97
4.875996670791527,0.935
4.876242939468553,0.975
4.87648920814558,0.95
4.876735476822607,0.925
4.876981745499633,0.95
4.87722801417666,0.95
4.8774742828536874,0.96
4.877720551530714,0.935
4.877966820207741,0.95
4.878213088884768,0.96
4.878459357561795,0.89
4.878705626238821,0.93
4.878951894915848,0.93
4.879198163592875,0.92
4.879444432269901,0.915
4.879690700946928,0.89
4.879936969623955,0.91
4.880183238300981,0.915
4.880429506978008,0.9
4.880675775655035,0.86
4.880922044332062,0.9
4.881168313009089,0.905
4.881414581686116,0.92
4.881660850363142,0.91
4.881907119040169,0.845
4.882153387717196,0.87
4.882399656394223,0.845
4.88264592507125,0.83
4.882892193748277,0.83
4.883138462425303,0.845
4.88338473110233,0.79
4.883630999779357,0.805
4.883877268456383,0.805
4.88412353713341,0.8
4.8843698058104374,0.795
4.884616074487464,0.7
4.884862343164491,0.735
4.885108611841518,0.8
4.885354880518544,0.74
4.885601149195571,0.73
4.885847417872598,0.725
4.886093686549624,0.675
4.886339955226651,0.715
4.886586223903678,0.665
4.886832492580704,0.685
4.887078761257731,0.72
4.887325029934758,0.67
4.8875712986117845,0.64
4.887817567288812,0.605
4.888063835965839,0.575
4.888310104642865,0.635
